user_id,time_made,field_to_update,new_value
7978528,2020-12-05 18:27:31.659289,name,Biden
4525158,2020-06-14 01:19:14.398150,lot_id,A
1668895,2020-04-22 01:47:26.722855,lot_id,A
2809735,2020-03-02 03:27:59.577162,spot_id,5
8270028,2020-11-25 15:15:56.136078,registered_license_plate,8584327
8777089,2020-10-20 01:21:52.002398,spot_id,2
9938161,2020-01-20 02:01:49.729044,spot_id,7
8777089,2020-08-05 22:12:27.082677,spot_id,7
4525158,2020-11-29 19:21:03.976489,registered_license_plate,3113929
1668895,2020-07-26 21:16:29.380963,spot_id,3
3503880,2020-11-07 10:35:28.842951,registered_license_plate,2176377
2809735,2020-03-06 08:59:23.705780,registered_license_plate,7723950
7516427,2020-07-18 23:08:06.972140,registered_license_plate,2156179
7376108,2020-07-24 17:30:51.087342,spot_id,2
1668895,2020-06-05 23:03:08.866121,lot_id,C
1046188,2020-01-23 23:23:55.851385,spot_id,10
3503880,2020-02-10 01:54:45.495181,lot_id,B
8321192,2020-11-17 06:07:53.547282,registered_license_plate,6750294
8321192,2020-03-30 19:38:08.750066,spot_id,5
4614846,2020-09-23 08:46:47.928587,registered_license_plate,4060038
